ANALANDIA SP,ANALANDIA SP,0
CONTAGEM MG,CONTAGEM MG,0
ANALANDIA SP,BRASILEIA AC,3469578
ANALANDIA SP,BUJARI AC,3327643
ANALANDIA SP,CAPIXABA AC,3320581
ANALANDIA SP,CRUZEIRO DO SUL AC,3939306
ANALANDIA SP,EPITACIOLANDIA AC,3468444
ANALANDIA SP,FEIJO AC,3666649
ANALANDIA SP,JORDAO AC,
ANALANDIA SP,MANCIO LIMA AC,3972579
ANALANDIA SP,MANOEL URBANO AC,3531450
ANALANDIA SP,MARECHAL THAUMATURGO AC,
